,Number of combinations,Conditions,Loan,No Loan,Conversion Ratio
26,1.0,(df['CCAvg'] >= 4.0),228.0,355.0,39.108061749571185
27,1.0,(df['CCAvg'] >= 5.0),147.0,217.0,40.38461538461539
28,1.0,(df['CCAvg'] >= 6.0),84.0,183.0,31.46067415730337
29,1.0,(df['CCAvg'] >= 7.0),38.0,97.0,28.14814814814815
30,1.0,(df['CCAvg'] >= 8.0),17.0,34.0,33.33333333333333
31,1.0,(df['CCAvg'] >= 9.0),6.0,0.0,100.0
32,1.0,(df['Age'] >= 22.0),480.0,4520.0,9.6
33,1.0,(df['Age'] >= 27.0),467.0,4362.0,9.670739283495548
34,1.0,(df['Age'] >= 32.0),407.0,3844.0,9.574217831098565
35,1.0,(df['Age'] >= 36.0),346.0,3380.0,9.286097691894794
36,1.0,(df['Age'] >= 41.0),296.0,2844.0,9.42675159235669
37,1.0,(df['Age'] >= 45.0),245.0,2363.0,9.394171779141104
38,1.0,(df['Age'] >= 49.0),197.0,1926.0,9.279321714554875
39,1.0,(df['Age'] >= 54.0),138.0,1346.0,9.299191374663073
40,1.0,(df['Age'] >= 58.0),88.0,861.0,9.272918861959958
41,1.0,(df['Age'] >= 63.0),38.0,264.0,12.582781456953644
42,1.0,(df['Experience'] >= 0.0),480.0,4520.0,9.6
43,1.0,(df['Experience'] >= 5.0),430.0,4103.0,9.485991617030665
44,1.0,(df['Experience'] >= 10.0),354.0,3527.0,9.121360474104613
45,1.0,(df['Experience'] >= 14.0),307.0,3121.0,8.95565927654609
46,1.0,(df['Experience'] >= 19.0),260.0,2533.0,9.308986752595775
47,1.0,(df['Experience'] >= 24.0),192.0,1885.0,9.244102070293692
48,1.0,(df['Experience'] >= 29.0),135.0,1272.0,9.594882729211088
49,1.0,(df['Experience'] >= 33.0),84.0,815.0,9.343715239154617
50,1.0,(df['Experience'] >= 38.0),29.0,255.0,10.211267605633804
51,1.0,(df['Income'] >= 7.0),480.0,4520.0,9.6
52,1.0,(df['Income'] >= 62.0),479.0,2132.0,18.345461509000383
53,1.0,(df['Income'] >= 116.0),381.0,541.0,41.3232104121475
54,1.0,(df['Income'] >= 170.0),139.0,122.0,53.25670498084292
55,1.0,(df['Mortgage'] >= -2.0),480.0,4520.0,9.6
56,1.0,(df['Mortgage'] >= 159.0),131.0,593.0,18.093922651933703
57,1.0,(df['Mortgage'] >= 318.0),63.0,100.0,38.65030674846626
58,1.0,(df['Mortgage'] >= 476.0),19.0,12.0,61.29032258064516
59,2.0,(df['Family'] >= 1) & (df['Education'] >= 1),480.0,4520.0,9.6
60,2.0,(df['Family'] >= 1) & (df['Education'] >= 2),387.0,2517.0,13.326446280991735
61,2.0,(df['Family'] >= 1) & (df['Education'] >= 3),205.0,1296.0,13.657561625582945
62,2.0,(df['Family'] >= 2) & (df['Education'] >= 1),373.0,3155.0,10.572562358276643
63,2.0,(df['Family'] >= 2) & (df['Education'] >= 2),289.0,1821.0,13.696682464454977
64,2.0,(df['Family'] >= 2) & (df['Education'] >= 3),147.0,886.0,14.230396902226525
65,2.0,(df['Family'] >= 3) & (df['Education'] >= 1),267.0,1965.0,11.96236559139785
66,2.0,(df['Family'] >= 3) & (df['Education'] >= 2),187.0,1284.0,12.712440516655338
67,2.0,(df['Family'] >= 3) & (df['Education'] >= 3),95.0,564.0,14.41578148710167
68,2.0,(df['Family'] >= 4) & (df['Education'] >= 1),134.0,1088.0,10.965630114566286
69,2.0,(df['Family'] >= 4) & (df['Education'] >= 2),94.0,716.0,11.604938271604938
70,2.0,(df['Family'] >= 4) & (df['Education'] >= 3),46.0,335.0,12.073490813648293
71,2.0,(df['Family'] >= 1) & (df['Securities Account'] == 0),420.0,4058.0,9.379187137114783
72,2.0,(df['Family'] >= 1) & (df['Securities Account'] == 1),60.0,462.0,11.494252873563218
73,2.0,(df['Family'] >= 2) & (df['Securities Account'] == 0),334.0,2814.0,10.609911054637864
74,2.0,(df['Family'] >= 2) & (df['Securities Account'] == 1),39.0,341.0,10.263157894736842
75,2.0,(df['Family'] >= 3) & (df['Securities Account'] == 0),238.0,1749.0,11.977856064418722
76,2.0,(df['Family'] >= 3) & (df['Securities Account'] == 1),29.0,216.0,11.83673469387755
77,2.0,(df['Family'] >= 4) & (df['Securities Account'] == 0),124.0,959.0,11.449676823638043
78,2.0,(df['Family'] >= 4) & (df['Securities Account'] == 1),10.0,129.0,7.194244604316546
79,2.0,(df['Family'] >= 1) & (df['CD Account'] == 0),340.0,4358.0,7.237122179650915
80,2.0,(df['Family'] >= 1) & (df['CD Account'] == 1),140.0,162.0,46.35761589403973
81,2.0,(df['Family'] >= 2) & (df['CD Account'] == 0),269.0,3040.0,8.129344212753098
82,2.0,(df['Family'] >= 2) & (df['CD Account'] == 1),104.0,115.0,47.48858447488584
83,2.0,(df['Family'] >= 3) & (df['CD Account'] == 0),184.0,1896.0,8.846153846153847
84,2.0,(df['Family'] >= 3) & (df['CD Account'] == 1),83.0,69.0,54.60526315789473
85,2.0,(df['Family'] >= 4) & (df['CD Account'] == 0),96.0,1056.0,8.333333333333332
86,2.0,(df['Family'] >= 4) & (df['CD Account'] == 1),38.0,32.0,54.285714285714285
87,2.0,(df['Family'] >= 1) & (df['Online'] == 0),189.0,1827.0,9.375
88,2.0,(df['Family'] >= 1) & (df['Online'] == 1),291.0,2693.0,9.75201072386059
89,2.0,(df['Family'] >= 2) & (df['Online'] == 0),150.0,1277.0,10.51156271899089
90,2.0,(df['Family'] >= 2) & (df['Online'] == 1),223.0,1878.0,10.613993336506425
91,2.0,(df['Family'] >= 3) & (df['Online'] == 0),108.0,771.0,12.286689419795222
92,2.0,(df['Family'] >= 3) & (df['Online'] == 1),159.0,1194.0,11.751662971175167
93,2.0,(df['Family'] >= 4) & (df['Online'] == 0),57.0,423.0,11.875
94,2.0,(df['Family'] >= 4) & (df['Online'] == 1),77.0,665.0,10.377358490566039
95,2.0,(df['Family'] >= 1) & (df['CreditCard'] == 0),337.0,3193.0,9.546742209631729
96,2.0,(df['Family'] >= 1) & (df['CreditCard'] == 1),143.0,1327.0,9.727891156462585
97,2.0,(df['Family'] >= 2) & (df['CreditCard'] == 0),260.0,2208.0,10.53484602917342
98,2.0,(df['Family'] >= 2) & (df['CreditCard'] == 1),113.0,947.0,10.660377358490566
99,2.0,(df['Family'] >= 3) & (df['CreditCard'] == 0),182.0,1393.0,11.555555555555555
100,2.0,(df['Family'] >= 3) & (df['CreditCard'] == 1),85.0,572.0,12.93759512937595
101,2.0,(df['Family'] >= 4) & (df['CreditCard'] == 0),89.0,767.0,10.397196261682243
102,2.0,(df['Family'] >= 4) & (df['CreditCard'] == 1),45.0,321.0,12.295081967213115
103,2.0,(df['Family'] >= 1) & (df['ZIPCode Prefix'] >= 90),480.0,4520.0,9.6
104,2.0,(df['Family'] >= 1) & (df['ZIPCode Prefix'] >= 91),413.0,3884.0,9.611356760530603
105,2.0,(df['Family'] >= 1) & (df['ZIPCode Prefix'] >= 92),358.0,3374.0,9.592711682743838
106,2.0,(df['Family'] >= 1) & (df['ZIPCode Prefix'] >= 93),264.0,2480.0,9.620991253644315
107,2.0,(df['Family'] >= 1) & (df['ZIPCode Prefix'] >= 94),221.0,2106.0,9.497206703910614
108,2.0,(df['Family'] >= 1) & (df['ZIPCode Prefix'] >= 95),83.0,772.0,9.707602339181287
109,2.0,(df['Family'] >= 1) & (df['ZIPCode Prefix'] >= 96),3.0,37.0,7.5
110,2.0,(df['Family'] >= 2) & (df['ZIPCode Prefix'] >= 90),373.0,3155.0,10.572562358276643
111,2.0,(df['Family'] >= 2) & (df['ZIPCode Prefix'] >= 91),323.0,2726.0,10.593637258117415
112,2.0,(df['Family'] >= 2) & (df['ZIPCode Prefix'] >= 92),280.0,2377.0,10.538200978547234
113,2.0,(df['Family'] >= 2) & (df['ZIPCode Prefix'] >= 93),205.0,1741.0,10.534429599177802
114,2.0,(df['Family'] >= 2) & (df['ZIPCode Prefix'] >= 94),169.0,1499.0,10.13189448441247
115,2.0,(df['Family'] >= 2) & (df['ZIPCode Prefix'] >= 95),62.0,549.0,10.147299509001636
116,2.0,(df['Family'] >= 2) & (df['ZIPCode Prefix'] >= 96),3.0,30.0,9.090909090909092
117,2.0,(df['Family'] >= 3) & (df['ZIPCode Prefix'] >= 90),267.0,1965.0,11.96236559139785
118,2.0,(df['Family'] >= 3) & (df['ZIPCode Prefix'] >= 91),234.0,1695.0,12.130637636080872
119,2.0,(df['Family'] >= 3) & (df['ZIPCode Prefix'] >= 92),204.0,1487.0,12.063867534003549
120,2.0,(df['Family'] >= 3) & (df['ZIPCode Prefix'] >= 93),143.0,1104.0,11.467522052927025
121,2.0,(df['Family'] >= 3) & (df['ZIPCode Prefix'] >= 94),121.0,947.0,11.329588014981272
122,2.0,(df['Family'] >= 3) & (df['ZIPCode Prefix'] >= 95),43.0,346.0,11.053984575835475
123,2.0,(df['Family'] >= 3) & (df['ZIPCode Prefix'] >= 96),2.0,19.0,9.523809523809524
124,2.0,(df['Family'] >= 4) & (df['ZIPCode Prefix'] >= 90),134.0,1088.0,10.965630114566286
125,2.0,(df['Family'] >= 4) & (df['ZIPCode Prefix'] >= 91),118.0,938.0,11.174242424242424
126,2.0,(df['Family'] >= 4) & (df['ZIPCode Prefix'] >= 92),105.0,831.0,11.217948717948719
127,2.0,(df['Family'] >= 4) & (df['ZIPCode Prefix'] >= 93),73.0,619.0,10.54913294797688
128,2.0,(df['Family'] >= 4) & (df['ZIPCode Prefix'] >= 94),59.0,535.0,9.932659932659933
129,2.0,(df['Family'] >= 4) & (df['ZIPCode Prefix'] >= 95),19.0,195.0,8.878504672897195
130,2.0,(df['Family'] >= 4) & (df['ZIPCode Prefix'] >= 96),1.0,10.0,9.090909090909092
131,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 0.0),480.0,4520.0,9.6
132,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 1.0),433.0,2884.0,13.05396442568586
133,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 2.0),388.0,1553.0,19.989696032972695
134,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 3.0),332.0,570.0,36.80709534368071
135,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 4.0),228.0,355.0,39.108061749571185
136,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 5.0),147.0,217.0,40.38461538461539
137,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 6.0),84.0,183.0,31.46067415730337
138,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 7.0),38.0,97.0,28.14814814814815
139,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 8.0),17.0,34.0,33.33333333333333
140,2.0,(df['Family'] >= 1) & (df['CCAvg'] >= 9.0),6.0,0.0,100.0
141,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 0.0),373.0,3155.0,10.572562358276643
142,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 1.0),335.0,1974.0,14.508445214378519
143,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 2.0),304.0,1055.0,22.36938925680648
144,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 3.0),260.0,335.0,43.69747899159664
145,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 4.0),182.0,181.0,50.13774104683195
146,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 5.0),121.0,121.0,50.0
147,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 6.0),70.0,121.0,36.64921465968586
148,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 7.0),29.0,53.0,35.36585365853659
149,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 8.0),13.0,17.0,43.333333333333336
150,2.0,(df['Family'] >= 2) & (df['CCAvg'] >= 9.0),3.0,0.0,100.0
151,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 0.0),267.0,1965.0,11.96236559139785
152,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 1.0),235.0,1199.0,16.387726638772666
153,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 2.0),215.0,580.0,27.044025157232703
154,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 3.0),187.0,77.0,70.83333333333334
155,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 4.0),131.0,26.0,83.43949044585987
156,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 5.0),91.0,0.0,100.0
157,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 6.0),49.0,0.0,100.0
158,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 7.0),22.0,0.0,100.0
159,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 8.0),10.0,0.0,100.0
160,2.0,(df['Family'] >= 3) & (df['CCAvg'] >= 9.0),2.0,0.0,100.0
161,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 0.0),134.0,1088.0,10.965630114566286
162,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 1.0),116.0,691.0,14.374225526641885
163,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 2.0),104.0,306.0,25.365853658536587
164,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 3.0),94.0,51.0,64.82758620689654
165,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 4.0),63.0,17.0,78.75
166,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 5.0),45.0,0.0,100.0
167,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 6.0),22.0,0.0,100.0
168,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 7.0),9.0,0.0,100.0
169,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 8.0),3.0,0.0,100.0
170,2.0,(df['Family'] >= 4) & (df['CCAvg'] >= 9.0),1.0,0.0,100.0
171,2.0,(df['Family'] >= 1) & (df['Age'] >= 22.0),480.0,4520.0,9.6
172,2.0,(df['Family'] >= 1) & (df['Age'] >= 27.0),467.0,4362.0,9.670739283495548
173,2.0,(df['Family'] >= 1) & (df['Age'] >= 32.0),407.0,3844.0,9.574217831098565
174,2.0,(df['Family'] >= 1) & (df['Age'] >= 36.0),346.0,3380.0,9.286097691894794
175,2.0,(df['Family'] >= 1) & (df['Age'] >= 41.0),296.0,2844.0,9.42675159235669
176,2.0,(df['Family'] >= 1) & (df['Age'] >= 45.0),245.0,2363.0,9.394171779141104
177,2.0,(df['Family'] >= 1) & (df['Age'] >= 49.0),197.0,1926.0,9.279321714554875
178,2.0,(df['Family'] >= 1) & (df['Age'] >= 54.0),138.0,1346.0,9.299191374663073
179,2.0,(df['Family'] >= 1) & (df['Age'] >= 58.0),88.0,861.0,9.272918861959958
180,2.0,(df['Family'] >= 1) & (df['Age'] >= 63.0),38.0,264.0,12.582781456953644
181,2.0,(df['Family'] >= 2) & (df['Age'] >= 22.0),373.0,3155.0,10.572562358276643
182,2.0,(df['Family'] >= 2) & (df['Age'] >= 27.0),360.0,3021.0,10.64773735581189
183,2.0,(df['Family'] >= 2) & (df['Age'] >= 32.0),314.0,2655.0,10.575951498821153
184,2.0,(df['Family'] >= 2) & (df['Age'] >= 36.0),273.0,2333.0,10.475825019186493
185,2.0,(df['Family'] >= 2) & (df['Age'] >= 41.0),234.0,1929.0,10.818307905686545
186,2.0,(df['Family'] >= 2) & (df['Age'] >= 45.0),192.0,1608.0,10.666666666666668
187,2.0,(df['Family'] >= 2) & (df['Age'] >= 49.0),153.0,1325.0,10.351826792963465
188,2.0,(df['Family'] >= 2) & (df['Age'] >= 54.0),108.0,979.0,9.935602575896963
189,2.0,(df['Family'] >= 2) & (df['Age'] >= 58.0),70.0,610.0,10.294117647058822
190,2.0,(df['Family'] >= 2) & (df['Age'] >= 63.0),31.0,184.0,14.418604651162791
191,2.0,(df['Family'] >= 3) & (df['Age'] >= 22.0),267.0,1965.0,11.96236559139785
192,2.0,(df['Family'] >= 3) & (df['Age'] >= 27.0),260.0,1879.0,12.155212716222534
193,2.0,(df['Family'] >= 3) & (df['Age'] >= 32.0),220.0,1639.0,11.834319526627219
194,2.0,(df['Family'] >= 3) & (df['Age'] >= 36.0),193.0,1420.0,11.965282083075016
195,2.0,(df['Family'] >= 3) & (df['Age'] >= 41.0),163.0,1197.0,11.98529411764706
196,2.0,(df['Family'] >= 3) & (df['Age'] >= 45.0),133.0,998.0,11.75950486295314
197,2.0,(df['Family'] >= 3) & (df['Age'] >= 49.0),102.0,826.0,10.991379310344827
198,2.0,(df['Family'] >= 3) & (df['Age'] >= 54.0),72.0,609.0,10.572687224669604
199,2.0,(df['Family'] >= 3) & (df['Age'] >= 58.0),46.0,376.0,10.90047393364929
200,2.0,(df['Family'] >= 3) & (df['Age'] >= 63.0),19.0,113.0,14.393939393939394
201,2.0,(df['Family'] >= 4) & (df['Age'] >= 22.0),134.0,1088.0,10.965630114566286
202,2.0,(df['Family'] >= 4) & (df['Age'] >= 27.0),132.0,1030.0,11.359724612736661
203,2.0,(df['Family'] >= 4) & (df['Age'] >= 32.0),114.0,861.0,11.692307692307692
204,2.0,(df['Family'] >= 4) & (df['Age'] >= 36.0),102.0,723.0,12.363636363636363
205,2.0,(df['Family'] >= 4) & (df['Age'] >= 41.0),85.0,606.0,12.301013024602025
206,2.0,(df['Family'] >= 4) & (df['Age'] >= 45.0),75.0,525.0,12.5
207,2.0,(df['Family'] >= 4) & (df['Age'] >= 49.0),56.0,443.0,11.22244488977956
208,2.0,(df['Family'] >= 4) & (df['Age'] >= 54.0),40.0,302.0,11.695906432748536
209,2.0,(df['Family'] >= 4) & (df['Age'] >= 58.0),25.0,178.0,12.31527093596059
210,2.0,(df['Family'] >= 4) & (df['Age'] >= 63.0),11.0,56.0,16.417910447761194
211,2.0,(df['Family'] >= 1) & (df['Experience'] >= 0.0),480.0,4520.0,9.6
212,2.0,(df['Family'] >= 1) & (df['Experience'] >= 5.0),430.0,4103.0,9.485991617030665
213,2.0,(df['Family'] >= 1) & (df['Experience'] >= 10.0),354.0,3527.0,9.121360474104613
214,2.0,(df['Family'] >= 1) & (df['Experience'] >= 14.0),307.0,3121.0,8.95565927654609
215,2.0,(df['Family'] >= 1) & (df['Experience'] >= 19.0),260.0,2533.0,9.308986752595775
216,2.0,(df['Family'] >= 1) & (df['Experience'] >= 24.0),192.0,1885.0,9.244102070293692
217,2.0,(df['Family'] >= 1) & (df['Experience'] >= 29.0),135.0,1272.0,9.594882729211088
218,2.0,(df['Family'] >= 1) & (df['Experience'] >= 33.0),84.0,815.0,9.343715239154617
219,2.0,(df['Family'] >= 1) & (df['Experience'] >= 38.0),29.0,255.0,10.211267605633804
220,2.0,(df['Family'] >= 2) & (df['Experience'] >= 0.0),373.0,3155.0,10.572562358276643
221,2.0,(df['Family'] >= 2) & (df['Experience'] >= 5.0),333.0,2830.0,10.527979766044893
222,2.0,(df['Family'] >= 2) & (df['Experience'] >= 10.0),278.0,2445.0,10.20932794711715
223,2.0,(df['Family'] >= 2) & (df['Experience'] >= 14.0),242.0,2134.0,10.185185185185185
224,2.0,(df['Family'] >= 2) & (df['Experience'] >= 19.0),204.0,1744.0,10.472279260780287
225,2.0,(df['Family'] >= 2) & (df['Experience'] >= 24.0),150.0,1303.0,10.323468685478321
226,2.0,(df['Family'] >= 2) & (df['Experience'] >= 29.0),107.0,931.0,10.308285163776493
227,2.0,(df['Family'] >= 2) & (df['Experience'] >= 33.0),67.0,579.0,10.371517027863778
228,2.0,(df['Family'] >= 2) & (df['Experience'] >= 38.0),24.0,169.0,12.435233160621761
229,2.0,(df['Family'] >= 3) & (df['Experience'] >= 0.0),267.0,1965.0,11.96236559139785
230,2.0,(df['Family'] >= 3) & (df['Experience'] >= 5.0),234.0,1741.0,11.848101265822784
231,2.0,(df['Family'] >= 3) & (df['Experience'] >= 10.0),199.0,1491.0,11.775147928994082
232,2.0,(df['Family'] >= 3) & (df['Experience'] >= 14.0),170.0,1291.0,11.63586584531143
233,2.0,(df['Family'] >= 3) & (df['Experience'] >= 19.0),142.0,1075.0,11.668036154478227
234,2.0,(df['Family'] >= 3) & (df['Experience'] >= 24.0),99.0,812.0,10.867178924259056
235,2.0,(df['Family'] >= 3) & (df['Experience'] >= 29.0),72.0,567.0,11.267605633802818
236,2.0,(df['Family'] >= 3) & (df['Experience'] >= 33.0),45.0,355.0,11.25
237,2.0,(df['Family'] >= 3) & (df['Experience'] >= 38.0),17.0,111.0,13.28125
238,2.0,(df['Family'] >= 4) & (df['Experience'] >= 0.0),134.0,1088.0,10.965630114566286
239,2.0,(df['Family'] >= 4) & (df['Experience'] >= 5.0),122.0,928.0,11.619047619047619
240,2.0,(df['Family'] >= 4) & (df['Experience'] >= 10.0),103.0,764.0,11.8800461361015
241,2.0,(df['Family'] >= 4) & (df['Experience'] >= 14.0),89.0,667.0,11.772486772486772
242,2.0,(df['Family'] >= 4) & (df['Experience'] >= 19.0),78.0,578.0,11.890243902439025
243,2.0,(df['Family'] >= 4) & (df['Experience'] >= 24.0),56.0,434.0,11.428571428571429
244,2.0,(df['Family'] >= 4) & (df['Experience'] >= 29.0),40.0,289.0,12.158054711246201
245,2.0,(df['Family'] >= 4) & (df['Experience'] >= 33.0),25.0,174.0,12.562814070351758
246,2.0,(df['Family'] >= 4) & (df['Experience'] >= 38.0),10.0,52.0,16.129032258064516
247,2.0,(df['Family'] >= 1) & (df['Income'] >= 7.0),480.0,4520.0,9.6
248,2.0,(df['Family'] >= 1) & (df['Income'] >= 62.0),479.0,2132.0,18.345461509000383
249,2.0,(df['Family'] >= 1) & (df['Income'] >= 116.0),381.0,541.0,41.3232104121475
250,2.0,(df['Family'] >= 1) & (df['Income'] >= 170.0),139.0,122.0,53.25670498084292
251,2.0,(df['Family'] >= 2) & (df['Income'] >= 7.0),373.0,3155.0,10.572562358276643
252,2.0,(df['Family'] >= 2) & (df['Income'] >= 62.0),372.0,1426.0,20.689655172413794
253,2.0,(df['Family'] >= 2) & (df['Income'] >= 116.0),300.0,273.0,52.35602094240838
254,2.0,(df['Family'] >= 2) & (df['Income'] >= 170.0),108.0,68.0,61.36363636363637
255,2.0,(df['Family'] >= 3) & (df['Income'] >= 7.0),267.0,1965.0,11.96236559139785
256,2.0,(df['Family'] >= 3) & (df['Income'] >= 62.0),267.0,755.0,26.125244618395303
257,2.0,(df['Family'] >= 3) & (df['Income'] >= 116.0),214.0,0.0,100.0
258,2.0,(df['Family'] >= 3) & (df['Income'] >= 170.0),72.0,0.0,100.0
259,2.0,(df['Family'] >= 4) & (df['Income'] >= 7.0),134.0,1088.0,10.965630114566286
260,2.0,(df['Family'] >= 4) & (df['Income'] >= 62.0),134.0,408.0,24.723247232472325
261,2.0,(df['Family'] >= 4) & (df['Income'] >= 116.0),103.0,0.0,100.0
262,2.0,(df['Family'] >= 4) & (df['Income'] >= 170.0),31.0,0.0,100.0
263,2.0,(df['Family'] >= 1) & (df['Mortgage'] >= -2.0),480.0,4520.0,9.6
264,2.0,(df['Family'] >= 1) & (df['Mortgage'] >= 159.0),131.0,593.0,18.093922651933703
265,2.0,(df['Family'] >= 1) & (df['Mortgage'] >= 318.0),63.0,100.0,38.65030674846626
266,2.0,(df['Family'] >= 1) & (df['Mortgage'] >= 476.0),19.0,12.0,61.29032258064516
267,2.0,(df['Family'] >= 2) & (df['Mortgage'] >= -2.0),373.0,3155.0,10.572562358276643
268,2.0,(df['Family'] >= 2) & (df['Mortgage'] >= 159.0),110.0,403.0,21.44249512670565
269,2.0,(df['Family'] >= 2) & (df['Mortgage'] >= 318.0),55.0,56.0,49.549549549549546
270,2.0,(df['Family'] >= 2) & (df['Mortgage'] >= 476.0),15.0,6.0,71.42857142857143
271,2.0,(df['Family'] >= 3) & (df['Mortgage'] >= -2.0),267.0,1965.0,11.96236559139785
272,2.0,(df['Family'] >= 3) & (df['Mortgage'] >= 159.0),78.0,226.0,25.657894736842106
273,2.0,(df['Family'] >= 3) & (df['Mortgage'] >= 318.0),40.0,9.0,81.63265306122449
274,2.0,(df['Family'] >= 3) & (df['Mortgage'] >= 476.0),10.0,0.0,100.0
275,2.0,(df['Family'] >= 4) & (df['Mortgage'] >= -2.0),134.0,1088.0,10.965630114566286
276,2.0,(df['Family'] >= 4) & (df['Mortgage'] >= 159.0),40.0,118.0,25.31645569620253
277,2.0,(df['Family'] >= 4) & (df['Mortgage'] >= 318.0),20.0,4.0,83.33333333333334
278,2.0,(df['Family'] >= 4) & (df['Mortgage'] >= 476.0),5.0,0.0,100.0
279,2.0,(df['Education'] >= 1) & (df['Securities Account'] == 0),420.0,4058.0,9.379187137114783
280,2.0,(df['Education'] >= 1) & (df['Securities Account'] == 1),60.0,462.0,11.494252873563218
281,2.0,(df['Education'] >= 2) & (df['Securities Account'] == 0),341.0,2265.0,13.08518802762855
282,2.0,(df['Education'] >= 2) & (df['Securities Account'] == 1),46.0,252.0,15.436241610738255
283,2.0,(df['Education'] >= 3) & (df['Securities Account'] == 0),182.0,1171.0,13.45158906134516
284,2.0,(df['Education'] >= 3) & (df['Securities Account'] == 1),23.0,125.0,15.54054054054054
285,2.0,(df['Education'] >= 1) & (df['CD Account'] == 0),340.0,4358.0,7.237122179650915
286,2.0,(df['Education'] >= 1) & (df['CD Account'] == 1),140.0,162.0,46.35761589403973
287,2.0,(df['Education'] >= 2) & (df['CD Account'] == 0),279.0,2441.0,10.257352941176471
288,2.0,(df['Education'] >= 2) & (df['CD Account'] == 1),108.0,76.0,58.69565217391305
289,2.0,(df['Education'] >= 3) & (df['CD Account'] == 0),152.0,1253.0,10.818505338078293
290,2.0,(df['Education'] >= 3) & (df['CD Account'] == 1),53.0,43.0,55.208333333333336
291,2.0,(df['Education'] >= 1) & (df['Online'] == 0),189.0,1827.0,9.375
292,2.0,(df['Education'] >= 1) & (df['Online'] == 1),291.0,2693.0,9.75201072386059
